personId,time,tSec,angleDeg,radiusFactor,bench
P01,0:00,0,140,0.92,T1
P02,0:00,0,135,0.92,T1
P03,0:00,0,240,1.08,EXIT
P04,0:00,0,210,0.92,L
P05,0:00,0,65,1.08,EXIT
P06,0:00,0,352,1.08,EXIT
P07,0:00,0,226,1.08,EXIT
P08,0:00,0,260,0.92,B1
P09,0:00,0,265,0.92,B1
P01,0:10,10,140,0.92,T1
P02,0:10,10,135,0.92,T1
P03,0:10,10,240,1.08,EXIT
P04,0:10,10,235,1.08,EXIT
P05,0:10,10,65,1.08,EXIT
P06,0:10,10,352,1.08,EXIT
P07,0:10,10,226,1.08,EXIT
P08,0:10,10,260,0.92,B1
P09,0:10,10,265,0.92,B1
P01,0:20,20,140,0.92,T1
P02,0:20,20,135,0.92,T1
P03,0:20,20,240,1.08,EXIT
P04,0:20,20,235,1.08,EXIT
P05,0:20,20,320,0.92,B2
P06,0:20,20,352,1.08,EXIT
P07,0:20,20,226,1.08,EXIT
P08,0:20,20,108,0.38,
P09,0:20,20,265,0.92,B1
P01,0:30,30,140,0.92,T1
P02,0:30,30,135,0.92,T1
P03,0:30,30,240,1.08,EXIT
P04,0:30,30,235,1.08,EXIT
P05,0:30,30,320,0.92,B2
P06,0:30,30,352,1.08,EXIT
P07,0:30,30,226,1.08,EXIT
P08,0:30,30,108,0.38,
P09,0:30,30,265,0.92,B1
P01,0:40,40,140,0.92,T1
P02,0:40,40,135,0.92,T1
P03,0:40,40,240,1.08,EXIT
P04,0:40,40,235,1.08,EXIT
P05,0:40,40,320,0.92,B2
P06,0:40,40,352,1.08,EXIT
P07,0:40,40,226,1.08,EXIT
P08,0:40,40,260,0.92,B1
P09,0:40,40,265,0.92,B1
P01,0:50,50,140,0.92,T1
P02,0:50,50,80,0.7,
P03,0:50,50,50,0.4,
P04,0:50,50,235,1.08,EXIT
P05,0:50,50,335,0.93,
P06,0:50,50,352,1.08,EXIT
P07,0:50,50,226,1.08,EXIT
P08,0:50,50,260,0.92,B1
P09,0:50,50,265,0.92,B1
P01,1:00,60,140,0.92,T1
P02,1:00,60,135,0.92,T1
P03,1:00,60,40,0.4,
P04,1:00,60,235,1.08,EXIT
P05,1:00,60,335,0.93,
P06,1:00,60,337,0.93,
P07,1:00,60,213,0.92,L
P08,1:00,60,260,0.92,B1
P09,1:00,60,175,1.08,EXIT
P01,1:10,70,140,0.92,T1
P02,1:10,70,135,0.92,T1
P03,1:10,70,20,0.45,
P04,1:10,70,235,1.08,EXIT
P05,1:10,70,230,1.08,EXIT
P06,1:10,70,232,1.08,EXIT
P07,1:10,70,213,0.92,L
P08,1:10,70,260,0.92,B1
P09,1:10,70,175,1.08,EXIT
P01,1:20,80,140,0.92,T1
P02,1:20,80,135,0.92,T1
P03,1:20,80,30,0.92,R
P04,1:20,80,235,1.08,EXIT
P05,1:20,80,230,1.08,EXIT
P06,1:20,80,232,1.08,EXIT
P07,1:20,80,213,0.92,L
P08,1:20,80,260,0.92,B1
P09,1:20,80,175,1.08,EXIT
P01,1:30,90,140,0.92,T1
P02,1:30,90,135,0.92,T1
P03,1:30,90,30,0.92,R
P04,1:30,90,235,1.08,EXIT
P05,1:30,90,230,1.08,EXIT
P06,1:30,90,232,1.08,EXIT
P07,1:30,90,213,0.92,L
P08,1:30,90,260,0.92,B1
P09,1:30,90,175,1.08,EXIT
P01,1:40,100,140,0.92,T1
P02,1:40,100,135,0.92,T1
P03,1:40,100,30,0.92,R
P04,1:40,100,118,0.58,
P05,1:40,100,230,1.08,EXIT
P06,1:40,100,232,1.08,EXIT
P07,1:40,100,213,0.92,L
P08,1:40,100,260,0.92,B1
P09,1:40,100,175,1.08,EXIT
P01,1:50,110,140,0.92,T1
P02,1:50,110,135,0.92,T1
P03,1:50,110,30,0.92,R
P04,1:50,110,118,0.58,
P05,1:50,110,230,1.08,EXIT
P06,1:50,110,232,1.08,EXIT
P07,1:50,110,213,0.92,L
P08,1:50,110,260,0.92,B1
P09,1:50,110,175,1.08,EXIT
P01,2:00,120,140,0.92,T1
P02,2:00,120,135,0.92,T1
P03,2:00,120,30,0.92,R
P04,2:00,120,118,0.58,
P05,2:00,120,230,1.08,EXIT
P06,2:00,120,232,1.08,EXIT
P07,2:00,120,213,0.92,L
P08,2:00,120,260,0.92,B1
P09,2:00,120,175,1.08,EXIT
P01,2:10,130,140,0.92,T1
P02,2:10,130,135,0.92,T1
P03,2:10,130,30,0.92,R
P04,2:10,130,100,0.5,
P05,2:10,130,230,1.08,EXIT
P06,2:10,130,232,1.08,EXIT
P07,2:10,130,213,0.92,L
P08,2:10,130,260,0.92,B1
P09,2:10,130,175,1.08,EXIT
P01,2:20,140,140,0.92,T1
P02,2:20,140,135,0.92,T1
P03,2:20,140,43,1.08,EXIT
P04,2:20,140,350,1.08,EXIT
P05,2:20,140,230,1.08,EXIT
P06,2:20,140,232,1.08,EXIT
P07,2:20,140,213,0.92,L
P08,2:20,140,260,0.92,B1
P09,2:20,140,175,1.08,EXIT
P01,2:30,150,140,0.92,T1
P02,2:30,150,135,0.92,T1
P03,2:30,150,43,1.08,EXIT
P04,2:30,150,230,1.08,EXIT
P05,2:30,150,230,1.08,EXIT
P06,2:30,150,232,1.08,EXIT
P07,2:30,150,213,0.92,L
P08,2:30,150,260,0.92,B1
P09,2:30,150,175,1.08,EXIT
P01,2:40,160,140,0.92,T1
P02,2:40,160,135,0.92,T1
P03,2:40,160,43,1.08,EXIT
P04,2:40,160,350,1.08,EXIT
P05,2:40,160,230,1.08,EXIT
P06,2:40,160,232,1.08,EXIT
P07,2:40,160,213,0.92,L
P08,2:40,160,260,0.92,B1
P09,2:40,160,175,1.08,EXIT
P01,2:50,170,65,0.8,
P02,2:50,170,68,0.8,
P03,2:50,170,43,1.08,EXIT
P04,2:50,170,350,1.08,EXIT
P05,2:50,170,230,1.08,EXIT
P06,2:50,170,232,1.08,EXIT
P07,2:50,170,213,0.92,L
P08,2:50,170,260,0.92,B1
P09,2:50,170,269,0.8,
P01,3:00,180,65,1.08,EXIT
P02,3:00,180,68,1.08,EXIT
P03,3:00,180,43,1.08,EXIT
P04,3:00,180,350,1.08,EXIT
P05,3:00,180,230,1.08,EXIT
P06,3:00,180,232,1.08,EXIT
P07,3:00,180,213,0.92,L
P08,3:00,180,52,1.08,EXIT
P09,3:00,180,55,1.08,EXIT
